Incident Begin Date,Incident End Date,State,State2,countyCode,Sequence,sequenceLength,sequenceLocation,Event
2020/4/12,2020/4/13,SC,South Carolina,45015,1,6,6,168
2022/9/25,2022/10/4,SC,South Carolina,45015,0,1,1,169
2013/7/23,2013/7/28,NM,New Mexico,35001,0,1,1,170
2017/1/21,2017/1/22,GA,Georgia,13019,1,2,1,172
2017/9/7,2017/9/20,GA,Georgia,13019,1,2,2,172
2018/10/9,2018/10/23,GA,Georgia,13019,0,1,1,173
2017/8/23,2017/9/15,TX,Texas,48029,0,1,1,176
2020/7/25,2020/7/31,TX,Texas,48029,1,2,1,177
2020/8/23,2020/8/27,TX,Texas,48029,1,2,2,177
2017/9/8,2017/9/14,AL,Alabama,1007,1,2,1,180
2017/10/6,2017/10/10,AL,Alabama,1007,1,2,2,180
2020/9/14,2020/9/16,AL,Alabama,1007,1,2,1,181
2021/3/25,2021/3/26,AL,Alabama,1007,1,2,2,181
2017/9/7,2017/9/20,GA,Georgia,13021,0,1,1,183
2018/10/9,2018/10/23,GA,Georgia,13021,0,1,1,184
2016/3/8,2016/4/8,LA,Louisiana,22013,0,1,1,186
2020/6/5,2020/6/9,LA,Louisiana,22013,1,7,1,187
2020/8/22,2020/8/27,LA,Louisiana,22013,1,7,2,187
2020/9/13,2020/9/16,LA,Louisiana,22013,1,7,3,187
2020/10/6,2020/10/10,LA,Louisiana,22013,1,7,4,187
2020/10/26,2020/10/29,LA,Louisiana,22013,1,7,5,187
2021/8/26,2021/9/3,LA,Louisiana,22013,1,7,6,187
2021/9/12,2021/9/18,LA,Louisiana,22013,1,7,7,187
2017/9/4,2017/10/4,FL,Florida,,0,1,1,188
2019/8/28,2019/9/4,FL,Florida,,0,1,1,189
2022/9/23,2022/11/4,FL,Florida,,1,2,1,190
2022/11/7,,FL,Florida,,1,2,2,190
2015/5/4,2015/6/22,TX,Texas,48031,0,1,1,191
2017/9/7,2017/9/20,GA,Georgia,13023,0,1,1,192
2018/10/9,2018/10/23,GA,Georgia,13023,0,1,1,193
2014/4/28,2014/5/5,AL,Alabama,1009,0,1,1,196
2015/12/23,2015/12/31,AL,Alabama,1009,0,1,1,197
2017/9/8,2017/9/14,AL,Alabama,1009,0,1,1,198
2019/2/19,2019/3/20,AL,Alabama,1009,1,4,1,199
2020/2/5,2020/3/6,AL,Alabama,1009,1,4,2,199
2020/4/12,2020/4/13,AL,Alabama,1009,1,4,3,199
2020/9/14,2020/9/16,AL,Alabama,1009,1,4,4,199
2016/3/9,2016/3/29,MS,Mississippi,28011,0,1,1,202
2020/1/10,2020/1/11,MS,Mississippi,28011,1,2,1,203
2020/4/12,2020/4/12,MS,Mississippi,28011,1,2,2,203
2021/8/28,2021/9/1,MS,Mississippi,28011,0,1,1,204
2015/12/26,2016/1/21,TX,Texas,48033,0,1,1,205
2015/5/4,2015/6/22,TX,Texas,48035,1,4,1,206
2015/10/22,2015/10/31,TX,Texas,48035,1,4,2,206
2016/4/17,2016/4/30,TX,Texas,48035,1,4,3,206
2016/5/22,2016/6/24,TX,Texas,48035,1,4,4,206
2012/8/26,2012/9/10,LA,Louisiana,22015,0,1,1,209
2015/5/18,2015/6/20,LA,Louisiana,22015,1,2,1,210
2016/3/8,2016/4/8,LA,Louisiana,22015,1,2,2,210
2020/6/5,2020/6/9,LA,Louisiana,22015,1,7,1,211
2020/8/22,2020/8/27,LA,Louisiana,22015,1,7,2,211
2020/9/13,2020/9/16,LA,Louisiana,22015,1,7,3,211
2020/10/6,2020/10/10,LA,Louisiana,22015,1,7,4,211
2020/10/26,2020/10/29,LA,Louisiana,22015,1,7,5,211
2021/8/26,2021/9/3,LA,Louisiana,22015,1,7,6,211
2021/9/12,2021/9/18,LA,Louisiana,22015,1,7,7,211
2015/5/4,2015/6/22,TX,Texas,48037,0,1,1,214
2020/8/23,2020/8/27,TX,Texas,48037,0,1,1,215
2012/6/23,2012/7/26,FL,Florida,12007,0,1,1,217
2016/10/3,2016/10/19,FL,Florida,12007,1,4,1,218
2017/9/4,2017/10/18,FL,Florida,12007,1,4,2,218
2018/10/7,2018/10/19,FL,Florida,12007,1,4,3,218
2019/8/28,2019/9/9,FL,Florida,12007,1,4,4,218
2021/7/4,2021/7/8,FL,Florida,12007,0,1,1,219
2022/9/23,2022/11/4,FL,Florida,12007,1,2,1,220
2022/11/7,2022/11/30,FL,Florida,12007,1,2,2,220
2016/10/4,2016/10/15,GA,Georgia,13025,1,3,1,222
2017/1/21,2017/1/22,GA,Georgia,13025,1,3,2,222
2017/9/7,2017/9/20,GA,Georgia,13025,1,3,3,222
2018/10/9,2018/10/23,GA,Georgia,13025,1,2,1,223
2019/8/29,2019/9/7,GA,Georgia,13025,1,2,2,223
2015/5/4,2015/6/22,TX,Texas,48039,1,3,1,226
2015/10/22,2015/10/31,TX,Texas,48039,1,3,2,226
2016/5/22,2016/6/24,TX,Texas,48039,1,3,3,226
2017/8/23,2017/9/15,TX,Texas,48039,0,1,1,227
2020/7/25,2020/7/31,TX,Texas,48039,1,2,1,228
2020/8/23,2020/8/27,TX,Texas,48039,1,2,2,228
2016/5/22,2016/6/24,TX,Texas,48041,0,1,1,231
2016/10/3,2016/10/19,FL,Florida,12009,1,2,1,233
2017/9/4,2017/10/18,FL,Florida,12009,1,2,2,233
2019/8/28,2019/9/9,FL,Florida,12009,1,2,1,234
2020/7/31,2020/8/4,FL,Florida,12009,1,2,2,234
2022/9/23,2022/11/4,FL,Florida,12009,1,2,1,235
2022/11/7,2022/11/30,FL,Florida,12009,1,2,2,235
2017/9/4,2017/10/4,FL,Florida,,0,1,1,236
2019/8/28,2019/9/4,FL,Florida,,0,1,1,237
2022/9/23,2022/11/4,FL,Florida,,1,2,1,238
2022/11/7,,FL,Florida,,1,2,2,238
2017/1/21,2017/1/22,GA,Georgia,13027,1,2,1,240
2017/9/7,2017/9/20,GA,Georgia,13027,1,2,2,240
2018/10/9,2018/10/23,GA,Georgia,13027,0,1,1,241
2020/7/25,2020/7/31,TX,Texas,48047,0,1,1,244
2016/10/3,2016/10/19,FL,Florida,12011,1,2,1,246
2017/9/4,2017/10/18,FL,Florida,12011,1,2,2,246
2019/8/28,2019/9/9,FL,Florida,12011,1,2,1,247
